date,Actual,SARIMA_Forecast,Lower_95_CI,Upper_95_CI
2016-05-13 19:00:00,208.33333333333331,202.7409881815903,82.69354501187426,322.7884313513063
2016-05-13 20:00:00,120.0,178.44034966034474,50.77862136514963,306.1020779555398
2016-05-13 21:00:00,63.333333333333336,123.22132216372883,-11.702691605294902,258.1453359327526
2016-05-13 22:00:00,55.0,93.68974591688675,-44.076508593193665,231.45600042696717
2016-05-13 23:00:00,61.66666666666666,79.54678832599544,-59.67031675576797,218.76389340775884
2016-05-14 00:00:00,58.333333333333336,69.97158390086547,-70.23066021031129,210.17382801204224
2016-05-14 01:00:00,63.333333333333336,64.69599643885424,-75.98282306884543,205.3748159465539
2016-05-14 02:00:00,60.0,60.602908779041194,-80.29174021146449,201.4975577695469
2016-05-14 03:00:00,60.0,57.190348137909744,-83.80515108665227,198.18584736247178
2016-05-14 04:00:00,60.0,55.56456321035605,-85.47747390426596,196.60660032497807
2016-05-14 05:00:00,56.66666666666666,63.60339844191123,-77.46024338823582,204.66704027205827
2016-05-14 06:00:00,63.333333333333336,74.32620222014003,-66.74744553736383,215.3998499776439
2016-05-14 07:00:00,113.33333333333331,102.16415277536134,-38.914134454975056,243.24244000569774
2016-05-14 08:00:00,133.33333333333334,120.92081652071249,-20.159620933401527,262.0012539748265
2016-05-14 09:00:00,118.33333333333331,106.45378212891869,-34.62765209622755,247.53521635406491
2016-05-14 10:00:00,158.33333333333334,113.4016153425234,-27.680280912335547,254.48351159738235
2016-05-14 11:00:00,96.66666666666669,123.27705003793446,-17.80506038909624,264.35916046496516
2016-05-14 12:00:00,116.66666666666669,115.5720812913581,-25.51012841277992,256.6542909954961
2016-05-14 13:00:00,113.33333333333331,108.85534502982955,-32.22691069342494,249.93760075308404
2016-05-14 14:00:00,106.66666666666669,106.49284941840787,-34.58942763641963,247.57512647323537
2016-05-14 15:00:00,130.0,98.75866916126891,-42.32361777897809,239.84095610151593
2016-05-14 16:00:00,111.66666666666669,130.8635754357987,-10.218716082766662,271.9458669543641
2016-05-14 17:00:00,241.66666666666663,183.73127837130625,42.64898491352568,324.8135718290868
2016-05-14 18:00:00,166.66666666666666,180.64970774213464,39.5674133000216,321.7320021842477
